"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00200220","2008-08-15","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  261",",,0","  111",",,0",,,"  161",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-16","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  261",",,0","  117",",,0",,,"  167",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-17","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  278",",,0","  156",",,0",,,"  189",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-18","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  272",",,0","  172",",,0",,,"  211",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-19","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  311",",,0","  178",",,0",,,"  183",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-20","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  244",",,0","   94",",,0",,,"  172",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-21","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  261",",,0","  122",",,0",,,"  189",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-22","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    0",",,0,0830","    0",",,0","    0",",,0","  300",",,0","  189",",,0",,,"  233",",,0,0830",,,,,,,,,,,,,,
"USC00200220","2008-08-23","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","    5",",,0,0830","    0",",,0","    0",",,0","  278",",,0","  206",",,0",,,"  233",",,0,0830",,,,,"    1",",,0",,,,,,,,
"USC00200220","2008-08-24","42.2875","-83.7611","263.7","ANN ARBOR 1 W, MI US","   33",",,0,0830","    0",",,0","    0",",,0","  333",",,0","  200",",,0",,,"  222",",,0,0830",,,,,,,,,,,,,,
