"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00201502","1978-08-24","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-08-25","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-08-26","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-08-27","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-08-28","42.3263","-84.0133","274.3","CHELSEA, MI US","   25",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-08-29","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-08-30","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-08-31","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-01","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-02","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-03","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-04","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
"USC00201502","1978-09-05","42.3263","-84.0133","274.3","CHELSEA, MI US","    0",",,0,0800","    0",",,0,","    0",",,0,",,,,,,,,,,,,,,,,
