"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00200842","2001-12-19","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   72",",,0","    0",",,0",,,,,,,"    6",",,0,0700",,
"USC00200842","2001-12-20","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   13",",,0,0700","    0","P,,0","    0","P,,0","   56",",,0","  -17",",,0",,,,,,,"  100",",I,0,0700",,
"USC00200842","2001-12-21","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   50",",,0","  -50",",,0",,,,,,,"  -44",",,0,0700",,
"USC00200842","2001-12-22","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   50",",,0","  -44",",,0",,,,,,,"   -6",",,0,0700",,
"USC00200842","2001-12-23","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","   10",",,0,0700","    0","P,,0","    0","P,,0","   83",",,0","   -6",",,0",,,,,,,"   28",",,0,0700",,
"USC00200842","2001-12-24","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0","T,,0,0700","    0","T,,0","    0","T,,0","   28",",,0","  -56",",,0",,,,,,,"  -50",",,0,0700",,
"USC00200842","2001-12-25","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","   28",",,0","  -78",",,0",,,,,,,"  -67",",,0,0700",,
"USC00200842","2001-12-26","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0","T,,0,0700",,,"    0","P,,0","   28",",,0"," -122",",,0",,,,,,," -100",",,0,0700",,
"USC00200842","2001-12-27","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0","P,,0","    0","P,,0","  -39",",,0"," -100",",,0",,,,,,,"  -78",",,0,0700",,
"USC00200842","2001-12-28","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0","P,,0","  -22",",,0","  -78",",,0",,,,,,,"  -56",",,0,0700",,
"USC00200842","2001-12-29","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0","P,,0","   -6",",,0","  -72",",,0",,,,,,,"  -67",",,0,0700",,
"USC00200842","2001-12-30","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0","P,,0","  -44",",,0"," -117",",,0",,,,,,,"  -56",",,0,0700",,
"USC00200842","2001-12-31","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0","P,,0","  -44",",,0"," -117",",,0",,,,,,,"  -67",",,0,0700",,
"USC00200842","2002-01-01","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","  -50",",,0"," -106",",,0",,,,,,,"  -78",",,0,0700",,
"USC00200842","2002-01-02","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","  -11",",,0"," -106",",,0",,,,,,,"  -89",",,0,0700",,
"USC00200842","2002-01-03","41.84","-83.8608","210.3","BLISSFIELD 1 NNE, MI US","    0",",,0,0700","    0",",,0","    0",",,0","    6",",,0"," -111",",,0",,,,,,," -111",",,0,0700",,
